system:index,DetailedQA,NDVI,longitude,latitud
181,2058,0.3229,-36.37152437791498,-6.9508114697971335
182,2446,0.4387,-36.36246458624642,-6.9508114697971335
183,2058,0.4385,-36.35340479457785,-6.9508114697971335
184,2112,0.3085,-36.47188044778912,-6.959804675719732
185,2112,0.3655,-36.46282048264085,-6.959804675719732
186,2112,0.3358,-36.45376051749258,-6.959804675719732
187,2112,0.3528,-36.44470055234431,-6.959804675719732
188,2112,0.3055,-36.43564058719604,-6.959804675719732
189,4106,0.2704,-36.426580622047766,-6.959804675719732
190,2372,0.3507,-36.4175206568995,-6.959804675719732
191,4106,0.2626,-36.40846069175123,-6.959804675719732
192,2058,0.1815,-36.39940072660296,-6.959804675719732
193,2446,0.4044,-36.39034076145469,-6.959804675719732
194,2446,0.4121,-36.38128079630642,-6.959804675719732
195,2058,0.3269,-36.372220831158145,-6.959804675719732
196,35289,0.2652,-36.36316086600988,-6.959804675719732
197,2112,0.3336,-36.46351959578045,-6.968797881642329
198,2112,0.3446,-36.45445945692261,-6.968797881642329
199,2112,0.4714,-36.44539931806478,-6.968797881642329
200,2181,0.3446,-36.43633917920694,-6.968797881642329
201,4106,0.3393,-36.427279040349106,-6.968797881642329
202,4106,0.3393,-36.41821890149127,-6.968797881642329
203,35148,0.2893,-36.409158762633446,-6.968797881642329
204,2372,0.3804,-36.4000986237756,-6.968797881642329
205,2445,0.2683,-36.39103848491777,-6.968797881642329
206,2445,0.2764,-36.38197834605994,-6.968797881642329
207,2445,0.3233,-36.372918207202105,-6.968797881642329
208,2112,0.3581,-36.46421963410709,-6.977791087564927
209,2112,0.4902,-36.455159321309814,-6.977791087564927
210,2112,0.529,-36.446099008512526,-6.977791087564927
211,2112,0.3906,-36.437038695715245,-6.977791087564927
212,37141,0.3028,-36.42797838291796,-6.977791087564927
213,37141,0.2856,-36.41891807012068,-6.977791087564927
214,35148,0.4147,-36.4098577573234,-6.977791087564927
215,2372,0.3674,-36.40079744452611,-6.977791087564927
216,2372,0.2852,-36.39173713172884,-6.977791087564927
217,2112,0.4407,-36.46492059770857,-6.986784293487525
218,2112,0.5205000000000001,-36.45586011074193,-6.986784293487525
219,2112,0.5191,-36.4467996237753,-6.986784293487525
220,2112,0.4445,-36.437739136808666,-6.986784293487525
221,2372,0.382,-36.428678649842034,-6.986784293487525
222,35148,0.3624,-36.4196181628754,-6.986784293487525
223,37141,0.2333,-36.41055767590877,-6.986784293487525
224,2441,0.3694,-36.40149718894213,-6.986784293487525
225,2112,0.5142,-36.45656182530686,-6.9957774994101225
226,2372,0.2913,-36.42937984120913,-6.9957774994101225
