system:index,DetailedQA,NDVI,.geo
0,2058,0.3009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.53533571462549,-6.842892998725961]}"
1,2058,0.6769000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.52627798679213,-6.842892998725961]}"
2,2058,0.5873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.4900470754587,-6.842892998725961]}"
3,2372,0.7095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.526966446218154,-6.851886204648558]}"
4,2372,0.6829000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.51790854766173,-6.851886204648558]}"
5,2372,0.6484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.508850649105305,-6.851886204648558]}"
6,3478,0.42260000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.499792750548885,-6.851886204648558]}"
7,2441,0.7213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.49073485199246,-6.851886204648558]}"
8,2441,0.4742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.48167695343603,-6.851886204648558]}"
9,35217,0.7178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.47261905487961,-6.851886204648558]}"
10,3478,0.46580000000000005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.46356115632318,-6.851886204648558]}"
11,35217,0.4968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.45450325776676,-6.851886204648558]}"
12,2441,0.5566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.44544535921034,-6.851886204648558]}"
13,2441,0.5752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.43638746065391,-6.851886204648558]}"
14,2058,0.3764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.42732956209749,-6.851886204648558]}"
15,3478,0.44930000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.41827166354106,-6.851886204648558]}"
16,2441,0.4621,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.400155866428214,-6.851886204648558]}"
17,2112,0.4606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.391097967871794,-6.851886204648558]}"
18,2112,0.6879000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.5185977620287,-6.860879410571156]}"
19,2112,0.6879000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.5095396925196,-6.860879410571156]}"
20,2441,0.41450000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.500481623010515,-6.860879410571156]}"
21,2181,0.4736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.49142355350143,-6.860879410571156]}"
22,2181,0.48560000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.48236548399234,-6.860879410571156]}"
