system:index,DetailedQA,NDVI,.geo
0,2112,0.3672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.53533571462549,-6.842892998725961]}"
1,2112,0.323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.52627798679213,-6.842892998725961]}"
2,2112,0.31670000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.4900470754587,-6.842892998725961]}"
3,2112,0.32280000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.526966446218154,-6.851886204648558]}"
4,2112,0.33840000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.51790854766173,-6.851886204648558]}"
5,2112,0.2914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.508850649105305,-6.851886204648558]}"
6,2112,0.3085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.499792750548885,-6.851886204648558]}"
7,2112,0.3276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.49073485199246,-6.851886204648558]}"
8,2112,0.33030000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.48167695343603,-6.851886204648558]}"
9,2112,0.3548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.47261905487961,-6.851886204648558]}"
10,2112,0.386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.46356115632318,-6.851886204648558]}"
11,2112,0.3935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.45450325776676,-6.851886204648558]}"
12,2112,0.36110000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.44544535921034,-6.851886204648558]}"
13,2112,0.3315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.43638746065391,-6.851886204648558]}"
14,2112,0.3513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.42732956209749,-6.851886204648558]}"
15,2112,0.33490000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.41827166354106,-6.851886204648558]}"
16,2112,0.3279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.400155866428214,-6.851886204648558]}"
17,2112,0.3487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.391097967871794,-6.851886204648558]}"
18,2112,0.3185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.5185977620287,-6.860879410571156]}"
19,2112,0.2982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.5095396925196,-6.860879410571156]}"
20,2112,0.3098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.500481623010515,-6.860879410571156]}"
21,2112,0.3438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.49142355350143,-6.860879410571156]}"
22,2112,0.33330000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.48236548399234,-6.860879410571156]}"
23,2112,0.3079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.47330741448325,-6.860879410571156]}"
24,2112,0.3518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.46424934497416,-6.860879410571156]}"
25,2112,0.33390000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.45519127546507,-6.860879410571156]}"
26,2112,0.3448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.44613320595598,-6.860879410571156]}"
27,2112,0.3574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.437075136446886,-6.860879410571156]}"
28,2112,0.32480000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.428017066937805,-6.860879410571156]}"
29,2112,0.33840000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.4189589974287,-6.860879410571156]}"
30,2112,0.31320000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.40990092791962,-6.860879410571156]}"
31,2112,0.31270000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.40084285841053,-6.860879410571156]}"
32,2112,0.3094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.39178478890144,-6.860879410571156]}"
33,2112,0.31220000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.519287902146054,-6.869872616493754]}"
34,2112,0.3175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.510229661454666,-6.869872616493754]}"
35,2112,0.3234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.50117142076329,-6.869872616493754]}"
36,2112,0.3422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.49211318007191,-6.869872616493754]}"
