system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
0,0.4107,-36.53536976649717,-6.843337985549752,goodQA,lower,low,no,land,no
1,0.4117,-36.52631203022179,-6.843337985549752,goodQA,lower,low,no,land,no
2,0.4649,-36.4900810851202,-6.843337985549752,goodQA,lower,low,no,land,no
3,0.4076,-36.527000535459294,-6.8523311914723495,goodQA,lower,low,no,land,no
4,0.4125,-36.51794262844948,-6.8523311914723495,goodQA,lower,low,no,land,no
5,0.4086,-36.50888472143966,-6.8523311914723495,goodQA,lower,low,no,land,no
6,0.4057,-36.49982681442984,-6.8523311914723495,goodQA,lower,low,no,land,no
7,0.4437,-36.49076890742001,-6.8523311914723495,goodQA,lower,low,no,land,no
8,0.4645,-36.4817110004102,-6.8523311914723495,goodQA,lower,low,no,land,no
9,0.4984,-36.47265309340038,-6.8523311914723495,goodQA,lower,low,no,land,no
10,0.5325,-36.463595186390556,-6.8523311914723495,goodQA,lower,low,no,land,no
11,0.5399,-36.454537279380745,-6.8523311914723495,goodQA,lower,low,no,land,no
12,0.5355,-36.445479372370926,-6.8523311914723495,goodQA,lower,low,no,land,no
13,0.52,-36.4364214653611,-6.8523311914723495,goodQA,lower,low,no,land,no
14,0.528,-36.42736355835128,-6.8523311914723495,goodQA,lower,low,no,land,no
15,0.4771,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,no,land,no
16,0.4564,-36.40018983732183,-6.8523311914723495,goodQA,lower,low,no,land,no
17,0.454,-36.39113193031201,-6.8523311914723495,goodQA,lower,low,no,shorelines,no
18,0.4171,-36.51863188862085,-6.861324397394947,goodQA,lower,low,no,land,no
19,0.4069,-36.509573810647,-6.861324397394947,goodQA,lower,low,no,land,no
20,0.4099,-36.50051573267316,-6.861324397394947,goodQA,lower,low,no,land,no
21,0.4493,-36.4914576546993,-6.861324397394947,goodQA,lower,low,no,land,no
22,0.4814,-36.48239957672546,-6.861324397394947,goodQA,lower,low,no,land,no
23,0.4985,-36.47334149875162,-6.861324397394947,goodQA,lower,low,no,land,no
24,0.5008,-36.46428342077777,-6.861324397394947,goodQA,lower,low,no,land,no
25,0.5115000000000001,-36.45522534280393,-6.861324397394947,goodQA,lower,low,no,land,no
26,0.5086,-36.44616726483008,-6.861324397394947,goodQA,lower,low,no,land,no
27,0.5049,-36.43710918685623,-6.861324397394947,goodQA,lower,low,no,land,no
28,0.4718,-36.428051108882386,-6.861324397394947,goodQA,lower,low,no,land,no
29,0.4562,-36.41899303090853,-6.861324397394947,goodQA,lower,low,no,land,no
30,0.4425,-36.40993495293469,-6.861324397394947,goodQA,lower,low,no,land,no
31,0.4706,-36.400876874960844,-6.861324397394947,goodQA,lower,low,no,land,no
32,0.4461,-36.391818796987,-6.861324397394947,goodQA,lower,low,no,shorelines,no
33,0.4124,-36.519322074546885,-6.870317603317545,goodQA,lower,low,no,land,no
34,0.4116,-36.51026382537939,-6.870317603317545,goodQA,lower,low,no,land,no
35,0.432,-36.50120557621189,-6.870317603317545,goodQA,lower,low,no,land,no
36,0.4594,-36.492147327044385,-6.870317603317545,goodQA,lower,low,no,land,no
37,0.4887,-36.4830890778769,-6.870317603317545,goodQA,lower,low,no,land,no
38,0.515,-36.474030828709395,-6.870317603317545,goodQA,lower,low,no,land,no
39,0.5389,-36.46497257954189,-6.870317603317545,goodQA,lower,low,no,land,no
40,0.4883,-36.455914330374405,-6.870317603317545,goodQA,lower,low,no,land,no
41,0.4968,-36.4468560812069,-6.870317603317545,goodQA,lower,low,no,land,no
42,0.5293,-36.4377978320394,-6.870317603317545,goodQA,lower,low,no,land,no
43,0.5393,-36.42873958287191,-6.870317603317545,goodQA,lower,low,no,land,no
44,0.4749,-36.4196813337044,-6.870317603317545,goodQA,lower,low,no,land,no
45,0.4638,-36.410623084536915,-6.870317603317545,goodQA,lower,low,no,land,no
46,0.4924,-36.40156483536942,-6.870317603317545,goodQA,lower,low,no,land,no
47,0.4496,-36.39250658620191,-6.870317603317545,goodQA,lower,low,no,land,no
48,0.4099,-36.51095476572329,-6.879310809240143,goodQA,lower,low,no,land,no
49,0.4284,-36.501896345132494,-6.879310809240143,goodQA,lower,low,no,land,no
50,0.4471,-36.492837924541696,-6.879310809240143,goodQA,lower,low,no,land,no
51,0.4917,-36.483779503950906,-6.879310809240143,goodQA,lower,low,no,land,no
52,0.505,-36.47472108336011,-6.879310809240143,goodQA,lower,low,no,land,no
53,0.5273,-36.46566266276931,-6.879310809240143,goodQA,lower,low,no,land,no
54,0.5217,-36.45660424217852,-6.879310809240143,goodQA,lower,low,no,land,no
55,0.5422,-36.44754582158773,-6.879310809240143,goodQA,lower,low,no,land,no
56,0.5496,-36.438487400996934,-6.879310809240143,goodQA,lower,low,no,land,no
57,0.5517000000000001,-36.42942898040614,-6.879310809240143,goodQA,lower,low,no,land,no
58,0.5373,-36.42037055981534,-6.879310809240143,goodQA,lower,low,no,land,no
59,0.5449,-36.41131213922455,-6.879310809240143,goodQA,lower,low,no,land,no
60,0.5324,-36.40225371863376,-6.879310809240143,goodQA,lower,low,no,land,no
61,0.5036,-36.393195298042954,-6.879310809240143,goodQA,lower,low,no,land,no
62,0.4479,-36.384136877452164,-6.879310809240143,goodQA,lower,low,no,land,no
63,0.4508,-36.502588039521555,-6.88830401516274,goodQA,lower,low,no,land,no
64,0.4408,-36.49352944727779,-6.88830401516274,goodQA,lower,low,no,land,no
65,0.4251,-36.484470855034026,-6.88830401516274,goodQA,lower,low,no,land,no
66,0.4533,-36.47541226279027,-6.88830401516274,goodQA,lower,low,no,land,no
67,0.4586,-36.46635367054651,-6.88830401516274,goodQA,lower,low,no,land,no
68,0.5567,-36.45729507830276,-6.88830401516274,goodQA,lower,low,no,land,no
69,0.6444000000000001,-36.448236486059,-6.88830401516274,goodQA,lower,low,no,land,no
70,0.6475000000000001,-36.439177893815234,-6.88830401516274,goodQA,lower,low,no,land,no
71,0.6277,-36.43011930157148,-6.88830401516274,goodQA,lower,low,no,land,no
72,0.595,-36.42106070932772,-6.88830401516274,goodQA,lower,low,no,land,no
73,0.5740000000000001,-36.412002117083965,-6.88830401516274,goodQA,lower,low,no,land,no
74,0.5395,-36.402943524840204,-6.88830401516274,goodQA,lower,low,no,land,no
75,0.5352,-36.39388493259644,-6.88830401516274,goodQA,lower,low,no,land,no
76,0.4577,-36.38482634035268,-6.88830401516274,goodQA,lower,low,no,land,no
77,0.4921,-36.50328065946575,-6.8972972210853385,goodQA,lower,low,no,land,no
78,0.4208,-36.49422189533933,-6.8972972210853385,goodQA,lower,low,no,land,no
79,0.4024,-36.48516313121292,-6.8972972210853385,goodQA,lower,low,no,land,no
80,0.4596,-36.47610436708651,-6.8972972210853385,goodQA,lower,low,no,land,no
81,0.4749,-36.4670456029601,-6.8972972210853385,goodQA,lower,low,no,land,no
82,0.5789000000000001,-36.45798683883369,-6.8972972210853385,goodQA,lower,low,no,land,no
83,0.6499,-36.44892807470728,-6.8972972210853385,goodQA,lower,low,no,land,no
84,0.6577000000000001,-36.43986931058087,-6.8972972210853385,goodQA,lower,low,no,land,no
85,0.6266,-36.43081054645446,-6.8972972210853385,goodQA,lower,low,no,land,no
86,0.6174000000000001,-36.42175178232804,-6.8972972210853385,goodQA,lower,low,no,land,no
87,0.5664,-36.41269301820164,-6.8972972210853385,goodQA,lower,low,no,land,no
88,0.513,-36.40363425407523,-6.8972972210853385,goodQA,lower,low,no,land,no
89,0.4994,-36.394575489948814,-6.8972972210853385,goodQA,lower,low,no,land,no
90,0.4865,-36.3855167258224,-6.8972972210853385,goodQA,lower,low,no,land,no
91,0.4122,-36.37645796169599,-6.8972972210853385,goodQA,lower,low,no,land,no
