system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
0,0.3859,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land,no
1,0.3496,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land,no
2,0.3329,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land,no
3,0.3546,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land,no
4,0.3542,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land,no
5,0.3157,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land,no
6,0.3335,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land,no
7,0.3238,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land,no
8,0.3641,-36.4817110004102,-6.8523311914723495,goodQA,decreasing1,low,no,land,no
9,0.3786,-36.47265309340038,-6.8523311914723495,regularQA,lower,intermediate,no,land,no
10,0.3959,-36.463595186390556,-6.8523311914723495,regularQA,lower,intermediate,no,land,no
11,0.414,-36.454537279380745,-6.8523311914723495,goodQA,lower,low,no,land,no
12,0.4092,-36.445479372370926,-6.8523311914723495,goodQA,lower,low,no,land,no
13,0.4155,-36.4364214653611,-6.8523311914723495,goodQA,lower,low,no,land,no
14,0.411,-36.42736355835128,-6.8523311914723495,goodQA,lower,low,no,land,no
15,0.3165,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,no,land,no
16,0.3179,-36.40018983732183,-6.8523311914723495,goodQA,lower,low,no,shorelines,no
17,0.3133,-36.39113193031201,-6.8523311914723495,goodQA,lower,low,no,shorelines,no
18,0.3665,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land,no
19,0.3528,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land,no
20,0.3496,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land,no
21,0.3745,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land,no
22,0.3616,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land,no
23,0.419,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land,no
24,0.4113,-36.46428342077777,-6.861324397394947,goodQA,lower,low,no,land,no
25,0.3718,-36.45522534280393,-6.861324397394947,goodQA,lower,low,no,land,no
26,0.3667,-36.44616726483008,-6.861324397394947,goodQA,lower,low,no,land,no
27,0.3815,-36.43710918685623,-6.861324397394947,goodQA,lower,low,no,land,no
