system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.6949000000000001,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.7099000000000001,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.7567,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.7130000000000001,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.7124,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.7094,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.7235,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.7477,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.7553000000000001,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.7435,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.7307,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.73,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.7201000000000001,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.7187,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.7206,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.6505000000000001,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land
16,0.6554,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.6385000000000001,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land
18,0.731,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.7182000000000001,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.7338,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.758,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.7714000000000001,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land
23,0.7222000000000001,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land
24,0.6717000000000001,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
25,0.7306,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land
26,0.7013,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land
27,0.6494,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land
28,0.6585000000000001,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land
29,0.676,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land
30,0.6821,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land
31,0.6451,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land
32,0.6265000000000001,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land
33,0.7036,-36.519322074546885,-6.870317603317545,goodQA,highest,low,no,land
34,0.7182000000000001,-36.51026382537939,-6.870317603317545,goodQA,highest,low,no,land
35,0.7215,-36.50120557621189,-6.870317603317545,goodQA,highest,low,no,land
36,0.7475,-36.492147327044385,-6.870317603317545,goodQA,highest,low,no,land
37,0.7743,-36.4830890778769,-6.870317603317545,goodQA,highest,low,no,land
38,0.7594000000000001,-36.474030828709395,-6.870317603317545,goodQA,highest,low,no,land
39,0.7585000000000001,-36.46497257954189,-6.870317603317545,goodQA,highest,low,no,land
40,0.7214,-36.455914330374405,-6.870317603317545,goodQA,highest,low,no,land
41,0.6573,-36.4468560812069,-6.870317603317545,goodQA,highest,low,no,land
42,0.7309,-36.4377978320394,-6.870317603317545,goodQA,highest,low,no,land
43,0.7693,-36.42873958287191,-6.870317603317545,goodQA,highest,low,no,land
44,0.7126,-36.4196813337044,-6.870317603317545,goodQA,highest,low,no,land
45,0.7054,-36.410623084536915,-6.870317603317545,goodQA,highest,low,no,land
46,0.7107,-36.40156483536942,-6.870317603317545,goodQA,highest,low,no,land
47,0.5860000000000001,-36.39250658620191,-6.870317603317545,goodQA,highest,low,no,land
