system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.5716,-36.53536976649717,-6.843337985549752,goodQA,lower,low,no,land
1,0.5669000000000001,-36.52631203022179,-6.843337985549752,goodQA,lower,low,no,land
2,0.5721,-36.4900810851202,-6.843337985549752,goodQA,lower,low,no,land
3,0.5770000000000001,-36.527000535459294,-6.8523311914723495,goodQA,lower,low,no,land
4,0.5594,-36.51794262844948,-6.8523311914723495,goodQA,lower,low,no,land
5,0.5442,-36.50888472143966,-6.8523311914723495,goodQA,lower,low,no,land
6,0.557,-36.49982681442984,-6.8523311914723495,goodQA,lower,low,no,land
7,0.5752,-36.49076890742001,-6.8523311914723495,goodQA,lower,low,no,land
8,0.6074,-36.4817110004102,-6.8523311914723495,goodQA,lower,low,no,land
9,0.6044,-36.47265309340038,-6.8523311914723495,goodQA,lower,low,no,land
10,0.6241,-36.463595186390556,-6.8523311914723495,goodQA,lower,low,no,land
11,0.6373,-36.454537279380745,-6.8523311914723495,goodQA,lower,low,no,land
12,0.6285000000000001,-36.445479372370926,-6.8523311914723495,goodQA,lower,low,no,land
13,0.6125,-36.4364214653611,-6.8523311914723495,goodQA,lower,low,no,land
14,0.6188,-36.42736355835128,-6.8523311914723495,goodQA,lower,low,no,land
15,0.5712,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,no,land
16,0.5928,-36.40018983732183,-6.8523311914723495,goodQA,lower,low,no,land
17,0.5814,-36.39113193031201,-6.8523311914723495,goodQA,lower,low,no,shorelines
18,0.5787,-36.51863188862085,-6.861324397394947,goodQA,lower,low,no,land
19,0.5685,-36.509573810647,-6.861324397394947,goodQA,lower,low,no,land
20,0.5777,-36.50051573267316,-6.861324397394947,goodQA,lower,low,no,land
21,0.6207,-36.4914576546993,-6.861324397394947,goodQA,lower,low,no,land
22,0.6311,-36.48239957672546,-6.861324397394947,goodQA,lower,low,no,land
23,0.6134000000000001,-36.47334149875162,-6.861324397394947,goodQA,lower,low,no,land
24,0.6017,-36.46428342077777,-6.861324397394947,goodQA,lower,low,no,land
25,0.5889,-36.45522534280393,-6.861324397394947,goodQA,lower,low,no,land
26,0.5827,-36.44616726483008,-6.861324397394947,goodQA,lower,low,no,land
27,0.5612,-36.43710918685623,-6.861324397394947,goodQA,lower,low,no,land
28,0.5852,-36.428051108882386,-6.861324397394947,goodQA,lower,low,no,land
29,0.5935,-36.41899303090853,-6.861324397394947,goodQA,lower,low,no,land
30,0.5655,-36.40993495293469,-6.861324397394947,goodQA,lower,low,no,land
31,0.5544,-36.400876874960844,-6.861324397394947,goodQA,lower,low,no,land
32,0.5361,-36.391818796987,-6.861324397394947,goodQA,lower,low,no,shorelines
33,0.5738,-36.519322074546885,-6.870317603317545,goodQA,lower,low,no,land
34,0.5828,-36.51026382537939,-6.870317603317545,goodQA,lower,low,no,land
35,0.5905,-36.50120557621189,-6.870317603317545,goodQA,lower,low,no,land
36,0.6313000000000001,-36.492147327044385,-6.870317603317545,goodQA,lower,low,no,land
37,0.6694,-36.4830890778769,-6.870317603317545,goodQA,lower,low,no,land
38,0.6583,-36.474030828709395,-6.870317603317545,goodQA,lower,low,no,land
39,0.6411,-36.46497257954189,-6.870317603317545,goodQA,lower,low,no,land
40,0.6066,-36.455914330374405,-6.870317603317545,goodQA,lower,low,no,land
41,0.5917,-36.4468560812069,-6.870317603317545,goodQA,lower,low,no,land
