system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.5428000000000001,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.4967,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.4412,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.4656,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.4653,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.4068,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.406,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.4314,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.4732,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.4692,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.4681,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.5022,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.4996,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.5004000000000001,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.5914,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.6408,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land
16,0.634,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.5865,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land
18,0.4712,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.422,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.4266,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.44,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.4833,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land
23,0.474,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land
24,0.4706,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
25,0.4578,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land
26,0.4641,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land
27,0.4775,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land
28,0.5081,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land
29,0.6837000000000001,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land
