system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.7427,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.7449,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.749,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.7372000000000001,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.7375,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.7307,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.748,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.7624000000000001,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.7717,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.7379,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.7296,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.7237,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.7112,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.7108,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.6921,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.6941,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land
16,0.6853,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.6699,-36.39113193031201,-6.8523311914723495,goodQA,lower,low,yes,land
18,0.7393000000000001,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.7133,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.7348,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.767,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.797,-36.48239957672546,-6.861324397394947,goodQA,lower,low,no,land
23,0.7729,-36.47334149875162,-6.861324397394947,goodQA,lower,low,no,land
24,0.7004,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
