system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.4865,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.4731,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.4172,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.4483,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.4574,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.4091,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.4104,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.4141,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.4528,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.4112,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.4472,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.4647,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.433,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.4085,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.3967,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.398,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land
16,0.352,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.3612,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land
18,0.4643,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.393,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.4248,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.4442,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.4582,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land
23,0.4191,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land
24,0.4098,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
25,0.3793,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land
26,0.3645,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land
27,0.3493,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land
28,0.3276,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land
29,0.385,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land
30,0.3603,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land
31,0.3152,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land
32,0.3193,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land
