system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.6946,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land
1,0.7002,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land
2,0.7345,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land
3,0.6905,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land
4,0.6965,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land
5,0.7020000000000001,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land
6,0.7138,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land
7,0.7323000000000001,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land
8,0.7612,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land
9,0.7177,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land
10,0.7107,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land
11,0.7181000000000001,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land
12,0.7019000000000001,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land
13,0.7054,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land
14,0.7308,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land
15,0.6273000000000001,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land
16,0.6748000000000001,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land
17,0.6285000000000001,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land
18,0.7002,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land
19,0.6877,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land
20,0.7167,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land
21,0.7527,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land
22,0.7691,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land
23,0.7242000000000001,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land
24,0.6909000000000001,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land
25,0.6391,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land
26,0.6559,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land
27,0.6269,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land
28,0.6273000000000001,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land
29,0.6443,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land
30,0.6309,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land
31,0.6525000000000001,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land
32,0.6102000000000001,-36.391818796987,-6.861324397394947,goodQA,highest,low,no,land
33,0.6719,-36.519322074546885,-6.870317603317545,goodQA,highest,low,no,land
34,0.6824,-36.51026382537939,-6.870317603317545,goodQA,highest,low,no,land
35,0.6975,-36.50120557621189,-6.870317603317545,goodQA,highest,low,no,land
36,0.7568,-36.492147327044385,-6.870317603317545,goodQA,highest,low,no,land
37,0.7646000000000001,-36.4830890778769,-6.870317603317545,goodQA,highest,low,no,land
