system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.3009,-36.53533571462549,-6.842892998725961,cloudy,decreasing1,correction,no,land
1,0.6769000000000001,-36.52627798679213,-6.842892998725961,cloudy,decreasing1,correction,no,land
2,0.5873,-36.4900470754587,-6.842892998725961,cloudy,decreasing1,correction,no,land
3,0.7095,-36.526966446218154,-6.851886204648558,goodQA,lower,low,yes,land
4,0.6829000000000001,-36.51790854766173,-6.851886204648558,goodQA,lower,low,yes,land
5,0.6484,-36.508850649105305,-6.851886204648558,goodQA,lower,low,yes,land
6,0.4226,-36.499792750548885,-6.851886204648558,cloudy,decreasing4,intermediate,yes,land
7,0.7213,-36.49073485199246,-6.851886204648558,regularQA,decreasing1,intermediate,yes,land
8,0.4742,-36.48167695343603,-6.851886204648558,regularQA,decreasing1,intermediate,yes,land
9,0.7178,-36.47261905487961,-6.851886204648558,regularQA,decreasing3,intermediate,yes,land
10,0.4658,-36.46356115632318,-6.851886204648558,cloudy,decreasing4,intermediate,yes,land
11,0.4968,-36.45450325776676,-6.851886204648558,regularQA,decreasing3,intermediate,yes,land
12,0.5566,-36.44544535921034,-6.851886204648558,regularQA,decreasing1,intermediate,yes,land
13,0.5752,-36.43638746065391,-6.851886204648558,regularQA,decreasing1,intermediate,yes,land
14,0.3764,-36.42732956209749,-6.851886204648558,cloudy,decreasing1,correction,no,land
15,0.4493,-36.41827166354106,-6.851886204648558,cloudy,decreasing4,intermediate,yes,land
16,0.4621,-36.400155866428214,-6.851886204648558,regularQA,decreasing1,intermediate,yes,land
17,0.4606,-36.391097967871794,-6.851886204648558,goodQA,highest,low,no,land
18,0.6879000000000001,-36.5185977620287,-6.860879410571156,goodQA,highest,low,no,land
19,0.6879000000000001,-36.5095396925196,-6.860879410571156,goodQA,highest,low,no,land
20,0.4145,-36.500481623010515,-6.860879410571156,regularQA,decreasing1,intermediate,yes,land
21,0.4736,-36.49142355350143,-6.860879410571156,regularQA,lower,intermediate,no,land
22,0.4856,-36.48236548399234,-6.860879410571156,regularQA,lower,intermediate,no,land
23,0.4752,-36.47330741448325,-6.860879410571156,regularQA,lower,intermediate,no,land
24,0.4832,-36.46424934497416,-6.860879410571156,cloudy,decreasing2,correction,no,land
25,0.4857,-36.45519127546507,-6.860879410571156,regularQA,decreasing6,high,yes,land
26,0.5273,-36.44613320595598,-6.860879410571156,regularQA,decreasing3,high,yes,land
27,0.5265000000000001,-36.437075136446886,-6.860879410571156,regularQA,decreasing3,high,yes,land
28,0.4221,-36.428017066937805,-6.860879410571156,cloudy,decreasing1,correction,no,land
29,0.4421,-36.4189589974287,-6.860879410571156,regularQA,decreasing1,intermediate,yes,land
30,0.4347,-36.40990092791962,-6.860879410571156,regularQA,decreasing1,intermediate,yes,land
31,0.4301,-36.40084285841053,-6.860879410571156,regularQA,decreasing1,intermediate,yes,land
32,0.3963,-36.39178478890144,-6.860879410571156,regularQA,lower,intermediate,no,land
33,0.6803,-36.519287902146054,-6.869872616493754,goodQA,highest,low,no,land
34,0.6926,-36.510229661454666,-6.869872616493754,goodQA,highest,low,no,land
35,0.6922,-36.50117142076329,-6.869872616493754,goodQA,highest,low,no,land
36,0.6894,-36.49211318007191,-6.869872616493754,goodQA,highest,low,no,land
37,0.502,-36.48305493938053,-6.869872616493754,regularQA,lower,intermediate,no,land
38,0.4897,-36.473996698689156,-6.869872616493754,regularQA,lower,intermediate,no,land
39,0.4784,-36.464938457997775,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
40,0.4348,-36.455880217306394,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
41,0.3909,-36.44682197661503,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
42,0.3924,-36.43776373592364,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
43,0.6900000000000001,-36.42870549523226,-6.869872616493754,regularQA,decreasing4,intermediate,yes,land
44,0.4775,-36.419647254540884,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
45,0.4421,-36.4105890138495,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
46,0.4853,-36.40153077315812,-6.869872616493754,regularQA,decreasing1,intermediate,yes,land
47,0.4282,-36.39247253246675,-6.869872616493754,regularQA,lower,intermediate,no,land
48,0.6231,-36.51092055599697,-6.878865822416351,goodQA,lower,low,yes,land
49,0.6319,-36.50186214389366,-6.878865822416351,goodQA,highest,low,no,land
50,0.6485000000000001,-36.492803731790346,-6.878865822416351,goodQA,highest,low,no,land
51,0.4978,-36.48374531968704,-6.878865822416351,regularQA,lower,intermediate,no,land
52,0.488,-36.47468690758373,-6.878865822416351,regularQA,lower,intermediate,no,land
53,0.4658,-36.46562849548041,-6.878865822416351,regularQA,lower,intermediate,no,land
54,0.4535,-36.4565700833771,-6.878865822416351,regularQA,lower,intermediate,no,land
55,0.453,-36.44751167127379,-6.878865822416351,regularQA,lower,intermediate,no,land
56,0.4929,-36.43845325917047,-6.878865822416351,regularQA,lower,intermediate,no,land
57,0.5023,-36.42939484706716,-6.878865822416351,regularQA,lower,intermediate,no,land
58,0.3585,-36.42033643496384,-6.878865822416351,cloudy,decreasing1,correction,no,land
59,0.4907,-36.411278022860536,-6.878865822416351,regularQA,decreasing1,intermediate,yes,land
60,0.5567,-36.40221961075723,-6.878865822416351,regularQA,lower,intermediate,no,land
61,0.5703,-36.39316119865391,-6.878865822416351,regularQA,lower,intermediate,no,land
62,0.7027,-36.50255379248819,-6.88785902833895,goodQA,highest,low,no,land
63,0.7369,-36.493495208743276,-6.88785902833895,goodQA,highest,low,no,land
64,0.4662,-36.48443662499837,-6.88785902833895,regularQA,lower,intermediate,no,land
65,0.4508,-36.47537804125346,-6.88785902833895,regularQA,lower,intermediate,no,land
66,0.4277,-36.46631945750855,-6.88785902833895,regularQA,lower,intermediate,no,land
67,0.5278,-36.45726087376363,-6.88785902833895,goodQA,highest,low,no,land
68,0.5774,-36.44820229001873,-6.88785902833895,regularQA,lower,intermediate,no,land
69,0.6062000000000001,-36.4391437062738,-6.88785902833895,regularQA,lower,intermediate,no,land
70,0.5685,-36.4300851225289,-6.88785902833895,goodQA,highest,low,no,land
71,0.5675,-36.421026538783984,-6.88785902833895,regularQA,decreasing1,intermediate,yes,land
72,0.559,-36.411967955039074,-6.88785902833895,regularQA,decreasing1,intermediate,yes,land
73,0.5144000000000001,-36.402909371294164,-6.88785902833895,regularQA,lower,intermediate,no,land
74,0.5720000000000001,-36.393850787549255,-6.88785902833895,regularQA,lower,intermediate,no,land
75,0.4728,-36.38479220380434,-6.88785902833895,regularQA,lower,intermediate,no,land
76,0.4804,-36.503246366633576,-6.896852234261547,regularQA,lower,intermediate,no,land
77,0.4412,-36.49418761101737,-6.896852234261547,regularQA,lower,intermediate,no,land
78,0.4352,-36.48512885540117,-6.896852234261547,regularQA,lower,intermediate,no,land
79,0.4884,-36.47607009978498,-6.896852234261547,regularQA,lower,intermediate,no,land
80,0.5043,-36.467011344168775,-6.896852234261547,regularQA,lower,intermediate,no,land
81,0.5499,-36.45795258855257,-6.896852234261547,goodQA,highest,low,no,land
82,0.7146,-36.448893832936385,-6.896852234261547,goodQA,highest,low,no,land
83,0.7104,-36.43983507732018,-6.896852234261547,goodQA,highest,low,no,land
84,0.5896,-36.43077632170399,-6.896852234261547,goodQA,highest,low,no,land
85,0.5845,-36.42171756608778,-6.896852234261547,goodQA,highest,low,no,land
86,0.5608000000000001,-36.412658810471584,-6.896852234261547,goodQA,highest,low,no,land
87,0.4479,-36.40360005485539,-6.896852234261547,goodQA,highest,low,no,land
88,0.5426,-36.39454129923919,-6.896852234261547,goodQA,highest,low,no,land
89,0.5201,-36.385482543622985,-6.896852234261547,goodQA,highest,low,no,land
90,0.4219,-36.3764237880068,-6.896852234261547,goodQA,highest,low,no,land
91,0.4655,-36.49488093869942,-6.9058454401841445,regularQA,lower,intermediate,no,land
92,0.486,-36.48582201098222,-6.9058454401841445,regularQA,lower,intermediate,no,land
93,0.452,-36.47676308326503,-6.9058454401841445,regularQA,lower,intermediate,no,land
94,0.5352,-36.46770415554783,-6.9058454401841445,regularQA,lower,intermediate,no,land
95,0.5392,-36.45864522783064,-6.9058454401841445,regularQA,lower,intermediate,no,land
96,0.729,-36.449586300113445,-6.9058454401841445,goodQA,highest,low,no,land
97,0.6384000000000001,-36.44052737239625,-6.9058454401841445,goodQA,highest,low,no,land
98,0.5798,-36.431468444679055,-6.9058454401841445,goodQA,highest,low,no,land
99,0.5988,-36.42240951696186,-6.9058454401841445,goodQA,highest,low,no,land
100,0.5492,-36.413350589244665,-6.9058454401841445,goodQA,highest,low,no,land
101,0.497,-36.40429166152747,-6.9058454401841445,goodQA,highest,low,no,land
102,0.5088,-36.395232733810275,-6.9058454401841445,goodQA,highest,low,no,land
103,0.469,-36.38617380609308,-6.9058454401841445,goodQA,highest,low,no,land
104,0.4998,-36.377114878375885,-6.9058454401841445,goodQA,highest,low,no,land
105,0.4843,-36.36805595065869,-6.9058454401841445,goodQA,highest,low,no,land
106,0.6739,-36.48651609182839,-6.914838646106743,regularQA,decreasing1,intermediate,yes,land
107,0.6437,-36.47745699178048,-6.914838646106743,regularQA,decreasing3,intermediate,yes,land
108,0.496,-36.46839789173256,-6.914838646106743,regularQA,decreasing2,intermediate,no,land
109,0.4151,-36.45933879168463,-6.914838646106743,goodQA,highest,low,no,shorelines
110,0.3811,-36.450279691636716,-6.914838646106743,goodQA,highest,low,no,shorelines
111,0.4806,-36.44122059158879,-6.914838646106743,goodQA,highest,low,no,shorelines
112,0.5338,-36.432161491540874,-6.914838646106743,goodQA,highest,low,no,shorelines
113,0.5527000000000001,-36.42310239149295,-6.914838646106743,goodQA,highest,low,no,land
114,0.5517000000000001,-36.414043291445026,-6.914838646106743,goodQA,highest,low,no,land
115,0.4754,-36.40498419139711,-6.914838646106743,goodQA,highest,low,no,land
116,0.5572,-36.395925091349184,-6.914838646106743,goodQA,highest,low,no,land
117,0.5776,-36.38686599130126,-6.914838646106743,goodQA,highest,low,no,land
118,0.5585,-36.37780689125335,-6.914838646106743,goodQA,highest,low,no,land
119,0.41,-36.36874779120542,-6.914838646106743,goodQA,highest,low,no,land
120,0.4214,-36.35968869115751,-6.914838646106743,goodQA,highest,low,no,land
121,0.6961,-36.48721109802671,-6.92383185202934,regularQA,decreasing1,intermediate,yes,land
122,0.7627,-36.478151825418315,-6.92383185202934,regularQA,decreasing2,intermediate,yes,land
123,0.5827,-36.469092552809904,-6.92383185202934,goodQA,decreasing1,low,yes,land
124,0.4167,-36.460033280201515,-6.92383185202934,goodQA,highest,low,no,shorelines
125,0.406,-36.45097400759312,-6.92383185202934,goodQA,highest,low,no,shorelines
126,0.5740000000000001,-36.44191473498471,-6.92383185202934,goodQA,highest,low,no,shorelines
