system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
0,0.315,-36.53536976649717,-6.843337985549752,goodQA,highest,low,no,land,no
1,0.292,-36.52631203022179,-6.843337985549752,goodQA,highest,low,no,land,no
2,0.2903,-36.4900810851202,-6.843337985549752,goodQA,highest,low,no,land,no
3,0.2795,-36.527000535459294,-6.8523311914723495,goodQA,highest,low,no,land,no
4,0.2969,-36.51794262844948,-6.8523311914723495,goodQA,highest,low,no,land,no
5,0.2663,-36.50888472143966,-6.8523311914723495,goodQA,highest,low,no,land,no
6,0.2742,-36.49982681442984,-6.8523311914723495,goodQA,highest,low,no,land,no
7,0.2921,-36.49076890742001,-6.8523311914723495,goodQA,highest,low,no,land,no
8,0.3105,-36.4817110004102,-6.8523311914723495,goodQA,highest,low,no,land,no
9,0.2895,-36.47265309340038,-6.8523311914723495,goodQA,highest,low,no,land,no
10,0.3032,-36.463595186390556,-6.8523311914723495,goodQA,highest,low,no,land,no
11,0.3138,-36.454537279380745,-6.8523311914723495,goodQA,highest,low,no,land,no
12,0.3121,-36.445479372370926,-6.8523311914723495,goodQA,highest,low,no,land,no
13,0.3165,-36.4364214653611,-6.8523311914723495,goodQA,highest,low,no,land,no
14,0.3403,-36.42736355835128,-6.8523311914723495,goodQA,highest,low,no,land,no
15,0.3259,-36.41830565134146,-6.8523311914723495,goodQA,highest,low,no,land,no
16,0.315,-36.40018983732183,-6.8523311914723495,goodQA,highest,low,no,land,no
17,0.2997,-36.39113193031201,-6.8523311914723495,goodQA,highest,low,no,land,no
18,0.2897,-36.51863188862085,-6.861324397394947,goodQA,highest,low,no,land,no
19,0.2621,-36.509573810647,-6.861324397394947,goodQA,highest,low,no,land,no
20,0.2769,-36.50051573267316,-6.861324397394947,goodQA,highest,low,no,land,no
21,0.3098,-36.4914576546993,-6.861324397394947,goodQA,highest,low,no,land,no
22,0.3103,-36.48239957672546,-6.861324397394947,goodQA,highest,low,no,land,no
23,0.2969,-36.47334149875162,-6.861324397394947,goodQA,highest,low,no,land,no
24,0.3015,-36.46428342077777,-6.861324397394947,goodQA,highest,low,no,land,no
25,0.2775,-36.45522534280393,-6.861324397394947,goodQA,highest,low,no,land,no
26,0.3159,-36.44616726483008,-6.861324397394947,goodQA,highest,low,no,land,no
27,0.3093,-36.43710918685623,-6.861324397394947,goodQA,highest,low,no,land,no
28,0.3035,-36.428051108882386,-6.861324397394947,goodQA,highest,low,no,land,no
29,0.319,-36.41899303090853,-6.861324397394947,goodQA,highest,low,no,land,no
30,0.2949,-36.40993495293469,-6.861324397394947,goodQA,highest,low,no,land,no
31,0.2792,-36.400876874960844,-6.861324397394947,goodQA,highest,low,no,land,no
