system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
0,0.5857,-36.53536976649717,-6.843337985549752,goodQA,lower,low,no,land
1,0.5716,-36.52631203022179,-6.843337985549752,goodQA,lower,low,no,land
2,0.526,-36.4900810851202,-6.843337985549752,goodQA,lower,low,no,land
3,0.6006,-36.527000535459294,-6.8523311914723495,goodQA,lower,low,no,land
4,0.5522,-36.51794262844948,-6.8523311914723495,goodQA,lower,low,no,land
5,0.5396000000000001,-36.50888472143966,-6.8523311914723495,goodQA,lower,low,no,land
6,0.5291,-36.49982681442984,-6.8523311914723495,goodQA,lower,low,no,land
7,0.5481,-36.49076890742001,-6.8523311914723495,goodQA,lower,low,no,land
8,0.5452,-36.4817110004102,-6.8523311914723495,goodQA,lower,low,no,land
9,0.5083,-36.47265309340038,-6.8523311914723495,goodQA,lower,low,no,land
10,0.4996,-36.463595186390556,-6.8523311914723495,goodQA,lower,low,no,land
11,0.5235000000000001,-36.454537279380745,-6.8523311914723495,goodQA,lower,low,no,land
12,0.5279,-36.445479372370926,-6.8523311914723495,goodQA,lower,low,no,land
13,0.5222,-36.4364214653611,-6.8523311914723495,goodQA,lower,low,no,land
14,0.5452,-36.42736355835128,-6.8523311914723495,goodQA,lower,low,no,land
15,0.4838,-36.41830565134146,-6.8523311914723495,goodQA,lower,low,no,land
16,0.4597,-36.40018983732183,-6.8523311914723495,goodQA,lower,low,no,land
17,0.4091,-36.39113193031201,-6.8523311914723495,goodQA,lower,low,no,land
18,0.5273,-36.51863188862085,-6.861324397394947,goodQA,lower,low,no,land
19,0.5281,-36.509573810647,-6.861324397394947,goodQA,lower,low,no,land
20,0.5379,-36.50051573267316,-6.861324397394947,goodQA,lower,low,no,land
21,0.5505,-36.4914576546993,-6.861324397394947,goodQA,lower,low,no,land
22,0.5505,-36.48239957672546,-6.861324397394947,goodQA,lower,low,no,land
23,0.5194,-36.47334149875162,-6.861324397394947,goodQA,lower,low,no,land
24,0.4875,-36.46428342077777,-6.861324397394947,goodQA,lower,low,no,land
25,0.4763,-36.45522534280393,-6.861324397394947,goodQA,lower,low,no,land
26,0.4808,-36.44616726483008,-6.861324397394947,goodQA,lower,low,no,land
27,0.4636,-36.43710918685623,-6.861324397394947,goodQA,lower,low,no,land
28,0.4692,-36.428051108882386,-6.861324397394947,goodQA,lower,low,no,land
29,0.4973,-36.41899303090853,-6.861324397394947,goodQA,lower,low,no,land
30,0.4736,-36.40993495293469,-6.861324397394947,goodQA,lower,low,no,land
31,0.4005,-36.400876874960844,-6.861324397394947,goodQA,lower,low,no,land
32,0.3776,-36.391818796987,-6.861324397394947,goodQA,lower,low,no,land
33,0.491,-36.519322074546885,-6.870317603317545,goodQA,lower,low,no,land
34,0.5414,-36.51026382537939,-6.870317603317545,goodQA,lower,low,no,land
35,0.532,-36.50120557621189,-6.870317603317545,goodQA,lower,low,no,land
36,0.4171,-36.492147327044385,-6.870317603317545,goodQA,highest,low,no,land
37,0.4572,-36.4830890778769,-6.870317603317545,goodQA,highest,low,no,land
38,0.4469,-36.474030828709395,-6.870317603317545,goodQA,highest,low,no,land
39,0.4537,-36.46497257954189,-6.870317603317545,goodQA,highest,low,no,land
40,0.4046,-36.455914330374405,-6.870317603317545,goodQA,highest,low,no,land
41,0.485,-36.4468560812069,-6.870317603317545,goodQA,lower,low,no,land
42,0.5105000000000001,-36.4377978320394,-6.870317603317545,goodQA,lower,low,no,land
43,0.5011,-36.42873958287191,-6.870317603317545,goodQA,lower,low,no,land
44,0.4198,-36.4196813337044,-6.870317603317545,goodQA,lower,low,no,land
45,0.3604,-36.410623084536915,-6.870317603317545,goodQA,lower,low,no,land
46,0.4362,-36.40156483536942,-6.870317603317545,goodQA,lower,low,no,land
47,0.4,-36.39250658620191,-6.870317603317545,goodQA,lower,low,no,land
48,0.4949,-36.51095476572329,-6.879310809240143,goodQA,lower,low,no,land
49,0.4848,-36.501896345132494,-6.879310809240143,goodQA,lower,low,no,land
50,0.4158,-36.492837924541696,-6.879310809240143,goodQA,highest,low,no,land
51,0.4472,-36.483779503950906,-6.879310809240143,goodQA,highest,low,no,land
52,0.4774,-36.47472108336011,-6.879310809240143,goodQA,highest,low,no,land
53,0.4754,-36.46566266276931,-6.879310809240143,goodQA,highest,low,no,land
54,0.425,-36.45660424217852,-6.879310809240143,goodQA,highest,low,no,land
55,0.4063,-36.44754582158773,-6.879310809240143,goodQA,highest,low,no,land
56,0.4502,-36.438487400996934,-6.879310809240143,goodQA,highest,low,no,land
57,0.4781,-36.42942898040614,-6.879310809240143,goodQA,highest,low,no,land
58,0.4532,-36.42037055981534,-6.879310809240143,goodQA,highest,low,no,land
59,0.4676,-36.41131213922455,-6.879310809240143,goodQA,highest,low,no,land
60,0.5196000000000001,-36.40225371863376,-6.879310809240143,goodQA,lower,low,no,land
61,0.5165000000000001,-36.393195298042954,-6.879310809240143,goodQA,lower,low,no,land
62,0.45,-36.384136877452164,-6.879310809240143,goodQA,lower,low,no,land
63,0.5818,-36.502588039521555,-6.88830401516274,goodQA,lower,low,no,land
64,0.459,-36.49352944727779,-6.88830401516274,goodQA,highest,low,no,land
65,0.4434,-36.484470855034026,-6.88830401516274,goodQA,highest,low,no,land
66,0.4595,-36.47541226279027,-6.88830401516274,goodQA,highest,low,no,land
67,0.4909,-36.46635367054651,-6.88830401516274,goodQA,highest,low,no,land
68,0.5141,-36.45729507830276,-6.88830401516274,goodQA,highest,low,no,land
69,0.682,-36.448236486059,-6.88830401516274,goodQA,lower,low,no,land
70,0.6669,-36.439177893815234,-6.88830401516274,goodQA,lower,low,no,land
71,0.6367,-36.43011930157148,-6.88830401516274,goodQA,lower,low,no,land
72,0.5267000000000001,-36.42106070932772,-6.88830401516274,goodQA,highest,low,no,land
73,0.5265000000000001,-36.412002117083965,-6.88830401516274,goodQA,highest,low,no,land
74,0.4513,-36.402943524840204,-6.88830401516274,goodQA,highest,low,no,land
75,0.608,-36.39388493259644,-6.88830401516274,goodQA,lower,low,no,land
76,0.4868,-36.38482634035268,-6.88830401516274,goodQA,lower,low,no,land
77,0.6191,-36.50328065946575,-6.8972972210853385,goodQA,lower,low,no,land
78,0.4569,-36.49422189533933,-6.8972972210853385,goodQA,highest,low,no,land
79,0.4377,-36.48516313121292,-6.8972972210853385,goodQA,highest,low,no,land
80,0.4877,-36.47610436708651,-6.8972972210853385,goodQA,highest,low,no,land
81,0.5108,-36.4670456029601,-6.8972972210853385,goodQA,highest,low,no,land
82,0.5640000000000001,-36.45798683883369,-6.8972972210853385,goodQA,highest,low,no,land
83,0.6897,-36.44892807470728,-6.8972972210853385,goodQA,lower,low,no,land
84,0.6674,-36.43986931058087,-6.8972972210853385,goodQA,lower,low,no,land
85,0.6287,-36.43081054645446,-6.8972972210853385,goodQA,lower,low,no,land
86,0.5901000000000001,-36.42175178232804,-6.8972972210853385,goodQA,lower,low,no,land
87,0.5832,-36.41269301820164,-6.8972972210853385,goodQA,lower,low,no,land
88,0.4143,-36.40363425407523,-6.8972972210853385,goodQA,lower,low,no,land
89,0.5838,-36.394575489948814,-6.8972972210853385,goodQA,lower,low,no,land
90,0.5343,-36.3855167258224,-6.8972972210853385,goodQA,lower,low,no,land
91,0.519,-36.37645796169599,-6.8972972210853385,goodQA,lower,low,no,land
92,0.5646,-36.49491526881312,-6.906290427007936,goodQA,lower,low,no,land
93,0.5994,-36.48585633257435,-6.906290427007936,goodQA,lower,low,no,land
94,0.4639,-36.476797396335584,-6.906290427007936,goodQA,highest,low,no,land
95,0.5408000000000001,-36.467738460096804,-6.906290427007936,goodQA,highest,low,no,land
96,0.5131,-36.45867952385804,-6.906290427007936,goodQA,highest,low,no,land
97,0.6313000000000001,-36.449620587619265,-6.906290427007936,goodQA,lower,low,no,land
98,0.6406000000000001,-36.44056165138049,-6.906290427007936,goodQA,lower,low,no,land
99,0.6188,-36.43150271514172,-6.906290427007936,goodQA,lower,low,no,land
100,0.6127,-36.42244377890294,-6.906290427007936,goodQA,lower,low,no,land
101,0.5915,-36.41338484266417,-6.906290427007936,goodQA,lower,low,no,land
102,0.5378000000000001,-36.4043259064254,-6.906290427007936,goodQA,lower,low,no,land
103,0.5332,-36.39526697018662,-6.906290427007936,goodQA,lower,low,no,land
104,0.5247,-36.386208033947845,-6.906290427007936,goodQA,lower,low,no,land
105,0.5827,-36.37714909770908,-6.906290427007936,goodQA,lower,low,no,land
106,0.558,-36.3680901614703,-6.906290427007936,goodQA,lower,low,no,land
107,0.6116,-36.48655045920521,-6.915283632930533,goodQA,lower,low,no,land
108,0.5912000000000001,-36.477491350624355,-6.915283632930533,goodQA,lower,low,no,land
109,0.5536,-36.46843224204348,-6.915283632930533,goodQA,lower,low,no,land
110,0.4865,-36.45937313346261,-6.915283632930533,goodQA,lower,low,no,land
111,0.5183,-36.45031402488174,-6.915283632930533,goodQA,lower,low,no,land
112,0.5718,-36.44125491630088,-6.915283632930533,goodQA,lower,low,no,land
113,0.562,-36.432195807720014,-6.915283632930533,goodQA,lower,low,no,land
114,0.5106,-36.423136699139135,-6.915283632930533,goodQA,lower,low,no,land
115,0.5356000000000001,-36.41407759055827,-6.915283632930533,goodQA,lower,low,no,land
116,0.5003000000000001,-36.40501848197741,-6.915283632930533,goodQA,lower,low,no,land
117,0.4962,-36.395959373396536,-6.915283632930533,goodQA,lower,low,no,land
118,0.6038,-36.386900264815665,-6.915283632930533,goodQA,lower,low,no,land
119,0.6353,-36.37784115623481,-6.915283632930533,goodQA,lower,low,no,land
120,0.4913,-36.36878204765394,-6.915283632930533,goodQA,lower,low,no,land
